date,year,month,month_name,quarter,week,day_of_week,is_weekend
2017-07-10 21:15:19,2017,7,July,3,28,Monday,False
2017-07-11 21:15:19,2017,7,July,3,28,Tuesday,False
2017-07-12 21:15:19,2017,7,July,3,28,Wednesday,False
2017-07-13 21:15:19,2017,7,July,3,28,Thursday,False
2017-07-14 21:15:19,2017,7,July,3,28,Friday,False
2017-07-15 21:15:19,2017,7,July,3,28,Saturday,True
2017-07-16 21:15:19,2017,7,July,3,28,Sunday,True
2017-07-17 21:15:19,2017,7,July,3,29,Monday,False
2017-07-18 21:15:19,2017,7,July,3,29,Tuesday,False
2017-07-19 21:15:19,2017,7,July,3,29,Wednesday,False
2017-07-20 21:15:19,2017,7,July,3,29,Thursday,False
2017-07-21 21:15:19,2017,7,July,3,29,Friday,False
2017-07-22 21:15:19,2017,7,July,3,29,Saturday,True
2017-07-23 21:15:19,2017,7,July,3,29,Sunday,True
2017-07-24 21:15:19,2017,7,July,3,30,Monday,False
2017-07-25 21:15:19,2017,7,July,3,30,Tuesday,False
2017-07-26 21:15:19,2017,7,July,3,30,Wednesday,False
2017-07-27 21:15:19,2017,7,July,3,30,Thursday,False
2017-07-28 21:15:19,2017,7,July,3,30,Friday,False
2017-07-29 21:15:19,2017,7,July,3,30,Saturday,True
2017-07-30 21:15:19,2017,7,July,3,30,Sunday,True
2017-07-31 21:15:19,2017,7,July,3,31,Monday,False
2017-08-01 21:15:19,2017,8,August,3,31,Tuesday,False
2017-08-02 21:15:19,2017,8,August,3,31,Wednesday,False
2017-08-03 21:15:19,2017,8,August,3,31,Thursday,False
2017-08-04 21:15:19,2017,8,August,3,31,Friday,False
2017-08-05 21:15:19,2017,8,August,3,31,Saturday,True
2017-08-06 21:15:19,2017,8,August,3,31,Sunday,True
2017-08-07 21:15:19,2017,8,August,3,32,Monday,False
2017-08-08 21:15:19,2017,8,August,3,32,Tuesday,False
2017-08-09 21:15:19,2017,8,August,3,32,Wednesday,False
2017-08-10 21:15:19,2017,8,August,3,32,Thursday,False
2017-08-11 21:15:19,2017,8,August,3,32,Friday,False
2017-08-12 21:15:19,2017,8,August,3,32,Saturday,True
2017-08-13 21:15:19,2017,8,August,3,32,Sunday,True
2017-08-14 21:15:19,2017,8,August,3,33,Monday,False
2017-08-15 21:15:19,2017,8,August,3,33,Tuesday,False
2017-08-16 21:15:19,2017,8,August,3,33,Wednesday,False
2017-08-17 21:15:19,2017,8,August,3,33,Thursday,False
2017-08-18 21:15:19,2017,8,August,3,33,Friday,False
2017-08-19 21:15:19,2017,8,August,3,33,Saturday,True
2017-08-20 21:15:19,2017,8,August,3,33,Sunday,True
2017-08-21 21:15:19,2017,8,August,3,34,Monday,False
2017-08-22 21:15:19,2017,8,August,3,34,Tuesday,False
2017-08-23 21:15:19,2017,8,August,3,34,Wednesday,False
2017-08-24 21:15:19,2017,8,August,3,34,Thursday,False
2017-08-25 21:15:19,2017,8,August,3,34,Friday,False
2017-08-26 21:15:19,2017,8,August,3,34,Saturday,True
2017-08-27 21:15:19,2017,8,August,3,34,Sunday,True
2017-08-28 21:15:19,2017,8,August,3,35,Monday,False
2017-08-29 21:15:19,2017,8,August,3,35,Tuesday,False
2017-08-30 21:15:19,2017,8,August,3,35,Wednesday,False
2017-08-31 21:15:19,2017,8,August,3,35,Thursday,False
2017-09-01 21:15:19,2017,9,September,3,35,Friday,False
2017-09-02 21:15:19,2017,9,September,3,35,Saturday,True
2017-09-03 21:15:19,2017,9,September,3,35,Sunday,True
2017-09-04 21:15:19,2017,9,September,3,36,Monday,False
2017-09-05 21:15:19,2017,9,September,3,36,Tuesday,False
2017-09-06 21:15:19,2017,9,September,3,36,Wednesday,False
2017-09-07 21:15:19,2017,9,September,3,36,Thursday,False
2017-09-08 21:15:19,2017,9,September,3,36,Friday,False
2017-09-09 21:15:19,2017,9,September,3,36,Saturday,True
2017-09-10 21:15:19,2017,9,September,3,36,Sunday,True
2017-09-11 21:15:19,2017,9,September,3,37,Monday,False
2017-09-12 21:15:19,2017,9,September,3,37,Tuesday,False
2017-09-13 21:15:19,2017,9,September,3,37,Wednesday,False
2017-09-14 21:15:19,2017,9,September,3,37,Thursday,False
2017-09-15 21:15:19,2017,9,September,3,37,Friday,False
2017-09-16 21:15:19,2017,9,September,3,37,Saturday,True
2017-09-17 21:15:19,2017,9,September,3,37,Sunday,True
2017-09-18 21:15:19,2017,9,September,3,38,Monday,False
2017-09-19 21:15:19,2017,9,September,3,38,Tuesday,False
2017-09-20 21:15:19,2017,9,September,3,38,Wednesday,False
2017-09-21 21:15:19,2017,9,September,3,38,Thursday,False
2017-09-22 21:15:19,2017,9,September,3,38,Friday,False
2017-09-23 21:15:19,2017,9,September,3,38,Saturday,True
2017-09-24 21:15:19,2017,9,September,3,38,Sunday,True
2017-09-25 21:15:19,2017,9,September,3,39,Monday,False
2017-09-26 21:15:19,2017,9,September,3,39,Tuesday,False
2017-09-27 21:15:19,2017,9,September,3,39,Wednesday,False
2017-09-28 21:15:19,2017,9,September,3,39,Thursday,False
2017-09-29 21:15:19,2017,9,September,3,39,Friday,False
2017-09-30 21:15:19,2017,9,September,3,39,Saturday,True
2017-10-01 21:15:19,2017,10,October,4,39,Sunday,True
2017-10-02 21:15:19,2017,10,October,4,40,Monday,False
2017-10-03 21:15:19,2017,10,October,4,40,Tuesday,False
2017-10-04 21:15:19,2017,10,October,4,40,Wednesday,False
2017-10-05 21:15:19,2017,10,October,4,40,Thursday,False
2017-10-06 21:15:19,2017,10,October,4,40,Friday,False
2017-10-07 21:15:19,2017,10,October,4,40,Saturday,True
2017-10-08 21:15:19,2017,10,October,4,40,Sunday,True
2017-10-09 21:15:19,2017,10,October,4,41,Monday,False
2017-10-10 21:15:19,2017,10,October,4,41,Tuesday,False
2017-10-11 21:15:19,2017,10,October,4,41,Wednesday,False
2017-10-12 21:15:19,2017,10,October,4,41,Thursday,False
2017-10-13 21:15:19,2017,10,October,4,41,Friday,False
2017-10-14 21:15:19,2017,10,October,4,41,Saturday,True
2017-10-15 21:15:19,2017,10,October,4,41,Sunday,True
2017-10-16 21:15:19,2017,10,October,4,42,Monday,False
2017-10-17 21:15:19,2017,10,October,4,42,Tuesday,False
2017-10-18 21:15:19,2017,10,October,4,42,Wednesday,False
2017-10-19 21:15:19,2017,10,October,4,42,Thursday,False
2017-10-20 21:15:19,2017,10,October,4,42,Friday,False
2017-10-21 21:15:19,2017,10,October,4,42,Saturday,True
2017-10-22 21:15:19,2017,10,October,4,42,Sunday,True
2017-10-23 21:15:19,2017,10,October,4,43,Monday,False
2017-10-24 21:15:19,2017,10,October,4,43,Tuesday,False
2017-10-25 21:15:19,2017,10,October,4,43,Wednesday,False
2017-10-26 21:15:19,2017,10,October,4,43,Thursday,False
2017-10-27 21:15:19,2017,10,October,4,43,Friday,False
2017-10-28 21:15:19,2017,10,October,4,43,Saturday,True
2017-10-29 21:15:19,2017,10,October,4,43,Sunday,True
2017-10-30 21:15:19,2017,10,October,4,44,Monday,False
2017-10-31 21:15:19,2017,10,October,4,44,Tuesday,False
2017-11-01 21:15:19,2017,11,November,4,44,Wednesday,False
2017-11-02 21:15:19,2017,11,November,4,44,Thursday,False
2017-11-03 21:15:19,2017,11,November,4,44,Friday,False
2017-11-04 21:15:19,2017,11,November,4,44,Saturday,True
2017-11-05 21:15:19,2017,11,November,4,44,Sunday,True
2017-11-06 21:15:19,2017,11,November,4,45,Monday,False
2017-11-07 21:15:19,2017,11,November,4,45,Tuesday,False
2017-11-08 21:15:19,2017,11,November,4,45,Wednesday,False
2017-11-09 21:15:19,2017,11,November,4,45,Thursday,False
2017-11-10 21:15:19,2017,11,November,4,45,Friday,False
2017-11-11 21:15:19,2017,11,November,4,45,Saturday,True
2017-11-12 21:15:19,2017,11,November,4,45,Sunday,True
2017-11-13 21:15:19,2017,11,November,4,46,Monday,False
2017-11-14 21:15:19,2017,11,November,4,46,Tuesday,False
2017-11-15 21:15:19,2017,11,November,4,46,Wednesday,False
2017-11-16 21:15:19,2017,11,November,4,46,Thursday,False
2017-11-17 21:15:19,2017,11,November,4,46,Friday,False
2017-11-18 21:15:19,2017,11,November,4,46,Saturday,True
2017-11-19 21:15:19,2017,11,November,4,46,Sunday,True
2017-11-20 21:15:19,2017,11,November,4,47,Monday,False
2017-11-21 21:15:19,2017,11,November,4,47,Tuesday,False
2017-11-22 21:15:19,2017,11,November,4,47,Wednesday,False
2017-11-23 21:15:19,2017,11,November,4,47,Thursday,False
